回数,種別,科目名,番号,問題文,選択肢１,選択肢２,選択肢３,選択肢４,答
26,按マ指,経絡経穴概論,108,肩関節を90度外転したとき、肩峰の前の陥凹部に取るのはどれか。,肩井,肩髃,肩髎,肩貞,2
26,按マ指,経絡経穴概論,109,足の経脈と絡穴が存在する筋の組合せで正しいのはどれか。,足の陽明経———長腓骨筋,足の厥陰経———前脛骨筋,足の太陰経———後脛骨筋,足の太陽経———腓腹筋,4
26,按マ指,経絡経穴概論,110,経穴とその部位を走行する神経の組合せで正しいのはどれか。,翳風———三叉神経,小海———橈骨神経,大陵———正中神経,委中———坐骨神経,3
26,按マ指,経絡経穴概論,111,肘頭と上腕骨内側上顆の間の陥凹部にある経穴はどれか。,尺沢,曲沢,少海,小海,4
26,按マ指,東洋医学臨床論,112,四診法で聖技に属するのはどれか。,糞便の臭いを尋ねる。,咳嗽の音を聴く。,舌苔の色を視る。,経脈上の皮膚の膨隆を触れる。,2
26,按マ指,東洋医学臨床論,113,次の文で示す患者の病証でみられるのはどれか。「23歳の女性。主訴は月経前の不安感。就職したばかりで、仕事にまだ慣れず緊張することが多い。月経の5日ほど前になると情緒が不安定となり、胸部の脹り感と頭痛を自覚する。」,げっぷ,しゃっくり,ため息,くしゃみ,3
26,按マ指,東洋医学臨床論,114,次の文で示す患者の病証に対する治療方針で最も適切なのはどれか。「45歳の女性。主訴は右耳の難聴。2週間前に突然発症し、近医で突発性難聴と診断された。耳閉感、胸苦しさ、頭重感を自覚する。舌質は紅、舌苔は黄膩、脈は滑数。」,肝血を補う,腎陰を補う,風熱を除く,痰火を除く,4
26,按マ指,東洋医学臨床論,115,次の文で示す患者の病証に対する治療方針で最も適切なのはどれか。「53歳の男性。職業は中華料理の調理人。主訴は手足の重だるさと胃のつかえ。大便は泥状で小便は色が濃い。舌質は紅、舌苔は黄膩、脈は濡数。」,湿熱を除く,血熱を除く,心火を抑える,肝陽を抑える,1
26,按マ指,東洋医学臨床論,116,次の文で示す患者の病証で施術対象となる部位はどれか。「49歳の女性。主訴は不眠。心配事が多く、寝つきが悪い。心悸、健忘があり、汗をかきやすく、心窩部のしこりや軟便もみられる。舌質は淡、舌苔は薄白、脈は細弱。」,前腕前面外側と下腿後内側,前腕前面内側と下腿内側,前腕後面内側と下腿前面,前腕後面外側と下腿後面,2
26,按マ指,東洋医学臨床論,117,次の文で示す患者の病証に対する治療穴として最も適切なのはどれか。「38歳の女性。主訴は頭痛。仕事が忙しくなりイライラしてくると頭頂部の痛みが生じる。ひどくなると顔面が紅潮し、口の中が苦くなる。舌質は紅、脈は弦有力。」,陽池,衝陽,京骨,太衝,4
26,按マ指,東洋医学臨床論,118,グラスピングサイン陽性の患者で罹患筋を対象に経脈流注を考慮して施術を行う場合、適切な経脈はどれか。,足の太陰経,足の少陰経,足の太陽経,足の少陽経,4
26,按マ指,東洋医学臨床論,119,次の文で示す患者の病証に対する治療穴として最も適切なのはどれか。「25歳の女性。主訴は食欲不振。胃下垂気味で、雨降り前になると食欲低下、胃もたれが生じ気分がすぐれなくなる。また立ちくらみを起こしやすい。」,内関,外関,陽陵泉,陰陵泉,4
26,按マ指,東洋医学臨床論,120,骨折の治癒促進を目的に行う物理療法で、ゲルを塗布し治療導子を患部に密着させながら、ゆっくり移動する治療法はどれか。,極超短波療法,超音波療法,低周波電気療法,静電気療法,2
26,按マ指,東洋医学臨床論,121,SOAPについて正しい組合せはどれか。,S———検査所見,O———自覚症状,A———病態の評価,P———治療効果,3
26,按マ指,東洋医学臨床論,122,高齢者に対して、立ったままの姿勢で90度前方挙上した上肢を、できる限り前方へ伸ばしていき、倒れないところで止めて、またもとの位置に戻す動作（ファンクショナルリーチテスト）を行わせて評価するのはどれか。,脊柱のアライメント,腰痛の有無,肩関節の可動域,立位動的バランス,4
26,按マ指,東洋医学臨床論,123,肩関節の腱板断裂の有無を判断するのに最も適切なのはどれか。,ドロップアームテスト,ヤーガソンテスト,肩甲上腕リズム,インピンジメントテスト,1
26,按マ指,東洋医学臨床論,124,次の文で示す症例に対する徒手検査で陽性となる可能性が最も高いのはどれか。「28歳の女性。スマートフォンを母指で長時間操作していると、手関節橈側が痛くなる。」,アイヒホッフテスト,ティネル徴候,ファレンテスト,フローマン徴候,1
26,按マ指,東洋医学臨床論,125,次の文で示す症例について、施術対象となる障害高位で最も適切なのはどれか。「21歳の男性。ラグビー選手。スクラム中、左頸部を傷めた。左肩関節外転筋力低下、左上腕二頭筋反射減弱、左上腕外側の知覚鈍麻がみられた。」,C3-C4間,C4-C5間,C5-C6間,C6-C7間,2
26,按マ指,東洋医学臨床論,126,スポーツ障害と局所施術の対象となる筋の組合せで正しいのはどれか。,テニス肘———短橈側手根伸筋,ジャンパー膝———大腿筋膜張筋,シンスプリント———腓腹筋,フリクションシンドローム———前脛骨筋,1
26,按マ指,東洋医学臨床論,127,次の文で示す症例に対して局所施術を行う部位として最も適切なのはどれか。「60歳の女性。主訴は左殿部から下肢後面の疼痛。長時間歩くと殿部から下肢後面にかけて痛みを自覚する。K・ボンネットテスト陽性、ラセーグテスト陰性、下肢の知覚異常はない。」,下後腸骨棘と大転子頂点の中央部,仙尾連結と大転子頂点の中央部,尾骨先端と大転子頂点の中央部,坐骨結節と大転子頂点の中央部,1
26,按マ指,東洋医学臨床論,128,スポーツ障害による下肢痛に対する施術において、治療対象となる筋・靱帯と経穴の組合せで正しいのはどれか。,腸脛靱帯———梁丘,膝蓋靱帯———殷門,大腿二頭筋———光明,後脛骨筋———三陰交,4
26,按マ指,東洋医学臨床論,129,徒手検査とそれが陽性となる罹患筋の作用との組合せで正しいのはどれか。,スピードテスト———前腕回外,トムゼンテスト———手関節掌屈,モーレイテスト———肩甲骨内転,リフトオフテスト———肩関節外旋,1
26,按マ指,東洋医学臨床論,130,腓腹筋けいれんがみられる患者に対する施術で、症状を再現するおそれが最も高いのはどれか。,腓腹筋を持続的に圧迫する。,足関節に牽引法を行う。,腓腹筋にホットパックを行う。,足関節を自動的に底屈させる。,4
26,按マ指,東洋医学臨床論,131,第2・第3頸神経前枝に支配される領域の神経痛に対する局所治療穴として最も適切なのはどれか。,百会,頭維,完骨,天柱,3
26,按マ指,東洋医学臨床論,132,トレンデレンブルグ歩行の患者に対し、施術する罹患筋の起始と停止の組合せで正しいのはどれか。,腸骨窩———小転子,腸骨外面———大転子,仙骨前面———大転子,下前腸骨棘———脛骨粗面,2
26,按マ指,総合(専門科目),133,次の文で示す症例について、問いに答えよ。「58歳の男性。3か月前に右頸肩部痛を自覚した。2か月前から前腕橈側、母指にかけて痛むようになった。近医にて頸椎症性神経根症と診断された。」本症例に行った身体診察でみられる可能性が最も高いのはどれか。,母指対立筋の筋力低下,上腕外側の触覚鈍麻,腕橈骨筋反射減弱,ホフマン反射陽性,3
26,按マ指,総合(専門科目),134,次の文で示す症例について、問いに答えよ。「58歳の男性。3か月前に右頸肩部痛を自覚した。2か月前から前腕橈側、母指にかけて痛むようになった。近医にて頸椎症性神経根症と診断された。」経脈の流注から施術対象として最も適切なのはどれか。,手の陽明経,手の太陽経,手の厥陰経,手の太陰経,4
26,按マ指,総合(専門科目),135,次の文で示す症例について、問いに答えよ。「56歳の男性。主訴は右肩痛。患部には明確な炎症所見はないが、肩関節前方に痛みがあり、物を持ち、肘を曲げようとしたときに増強する。ヤーガソンテスト陽性、ダウバーンサイン陰性であった。」本症例で最も著明な圧痛を示す部位はどれか。,腱板疎部,烏口突起部,上腕骨大結節部,上腕骨結節間溝部,4
26,按マ指,総合(専門科目),136,次の文で示す症例について、問いに答えよ。「56歳の男性。主訴は右肩痛。患部には明確な炎症所見はないが、肩関節前方に痛みがあり、物を持ち、肘を曲げようとしたときに増強する。ヤーガソンテスト陽性、ダウバーンサイン陰性であった。」本症例の治療で経脈へのアプローチを行う場合、最も適切なのはどれか。,手の少陽経,手の太陽経,手の太陰経,手の少陰経,3
26,按マ指,総合(専門科目),137,次の文で示す症例について、問いに答えよ。「24歳の女性。主訴は便秘。3年前から外勤となり、仕事の都合で便意を催しても我慢することが多くなった。」本症例の大腸の病態として最も考えられるのはどれか。,蠕動運動が弱い。,部分的なけいれんによる。,感受性が低下している。,大腸が長い。,3
26,按マ指,総合(専門科目),138,次の文で示す症例について、問いに答えよ。「24歳の女性。主訴は便秘。3年前から外勤となり、仕事の都合で便意を催しても我慢することが多くなった。」本症例の病態を考慮した生活指導として最も適切なのはどれか。,食物繊維の多い食物を摂る。,毎日決まった時間にトイレに行く。,腹筋体操をする。,食事量を減らす。,2
26,按マ指,東洋医学臨床論,139,次の文で示す症例について、問題１３９、問題１４０の問いに答えよ。「78歳の女性。最近、物忘れと意欲の低下がみられたことから受診した。診察の結果、認知症と診断された。」認知症の中核症状はどれか。,徘徊,抑うつ,睡眠障害,判断力の低下,4
26,按マ指,東洋医学臨床論,140,次の文で示す症例について、問題１３９、問題１４０の問いに答えよ。「78歳の女性。最近、物忘れと意欲の低下がみられたことから受診した。診察の結果、認知症と診断された。」本症例の対応で、してはならないのはどれか。,間違ったことをしたら注意する。,本人の動作のペースに合わせる。,ゆっくりと話しかける。,目線の高さを相手に合わせる。,1
26,按マ指,按摩・マッサージ・指圧理論,141,古法按摩で歯痛に対する手技はどれか。,頭維の術,墨規矩の術,鳴骨の術,骨分の術,1
26,按マ指,按摩・マッサージ・指圧理論,142,冷え症に対し局所の温熱効果を期待して手掌で軽圧する場合、最も適切な手技はどれか。,通常圧法,衝圧法,緩圧法,持続圧法,4
26,按マ指,按摩・マッサージ・指圧理論,143,小殿筋への圧迫法で十分に力が伝わる股関節の他動的肢位はどれか。,屈曲位,伸展位,外転位,内転位,3
26,按マ指,按摩・マッサージ・指圧理論,144,徒手検査法で陽性の際、あん摩マッサージ指圧施術が最も適応となるのはどれか。,ドロップアームテスト,トムゼンテスト,ラックマンテスト,トンプソンテスト,2
26,按マ指,按摩・マッサージ・指圧理論,145,施術者の手指の感染防止で最も適切なのはどれか。,手指に傷がある場合は指サックを装着する。,手指にハンドクリームを塗る。,手洗いの際にエアータオルを使用する。,ラビング法で用いる消毒薬は約1㎖である。,1
26,按マ指,按摩・マッサージ・指圧理論,146,圧迫法に反応する受容器で表皮に存在するのはどれか。,パチニ小体,マイスナー小体,メルケル盤,ルフィニ終末,3
26,按マ指,按摩・マッサージ・指圧理論,147,軽擦法の刺激の伝導に関与するのはどれか。,Ⅲ群線維,内側毛帯,脊髄灰白質中間質,外側脊髄視床路,2
26,按マ指,按摩・マッサージ・指圧理論,148,次の文で示す治療的作用はどれか。「膝蓋跳動陽性の患者に対し、大腿部への施術を継続したところ陰性になった。」,興奮作用,矯正作用,誘導作用,鎮静作用,3
26,按マ指,按摩・マッサージ・指圧理論,149,疼痛部位への軽擦法により賦活する鎮痛系の特徴はどれか。,軽擦の向きに依存する。,効果が出るまでに時間がかかる。,全身性に効果が出現する。,持続効果に乏しい。,4
26,按マ指,按摩・マッサージ・指圧理論,150,左鼻閉に対し、圧自律神経反射を利用して症状を改善しようとする場合、押圧する部位で最も効果があるのはどれか。,左鼻根部,右腋窩点,左殿部側点,右前脛骨筋部,2
27,按マ指,医療概論,1,医療法で《医療提供施設でない》のはどれか。,診療所,介護老人保健施設,介護老人福祉施設,調剤薬局,3
27,按マ指,医療概論,2,医療保険制度と被保険者の組合せで正しいのはどれか。,共済組合———民間企業従業員,国民健康保険———自営業者,健康保険組合———大学教員,協会けんぽ———公務員,2
27,按マ指,医療概論,3,障害があっても健常者と同様の日常生活を送ることができる社会を実現するという考え方はどれか。,バリアフリー,ユニバーサルデザイン,ノーマライゼーション,ソーシャルインクルージョン,3
27,按マ指,衛生学,4,一次予防はどれか。,乳がん検診,リハビリテーション,予防接種,機能障害防止,3
27,按マ指,衛生学,5,受動喫煙の防止に関する規定があるのはどれか。,健康増進法,地域保健法,健康保険法,医療法,1
27,按マ指,衛生学,6,感染症法で入院勧告の対象となる疾患はどれか。,結核,麻疹,マラリア,細菌性赤痢,1
27,按マ指,衛生学,7,WHOの活動はどれか。,労働災害の防止に関する活動,食料や農産物の生産に関する活動,予防接種に関する活動,児童の支援に関する活動,3
27,按マ指,衛生学,8,たばこの煙に含まれる健康に有害な成分はどれか。,窒素,酸素,水蒸気,一酸化炭素,4
27,按マ指,衛生学,9,職場における健康診断で労働者が毎年1回受けるのはどれか。,定期健康診断,雇入れ時健康診断,特殊健康診断,海外派遣労働者健康診断,1
27,按マ指,衛生学,10,我が国の2011年から2016年における人口動態統計による死因順位が第3位の疾患はどれか。,悪性新生物,心疾患,脳血管疾患,肺炎,4
27,按マ指,衛生学,11,有訴者率を明らかにする調査はどれか。,国民健康・栄養調査,国民生活基礎調査,人口動態統計,国勢調査,2
27,按マ指,関係法規,12,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、30日以内にしなければならないのはどれか。,免許取消し処分を受けたときの免許証返納,滞在による業務をするときの届出,氏名を変更したときの免許証の書換え申請,施術者の死亡による登録の消除申請,4
27,按マ指,関係法規,13,あん摩マッサージ指圧師が、専ら出張による業務をする場合の届け出る期限で正しいのはどれか。,開始前10日以内,開始したとき,開始後10日以内,開始後30日以内,2
27,按マ指,関係法規,14,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、施術所の開設に関する《届出事項でない》のはどれか。,開設者の氏名及び住所,名称,開設の場所,業務に従事する施術者の数,4
27,按マ指,関係法規,15,あん摩マツサージ指圧師、はり師、きゆう師等に関する法律で、正当な理由がなく臨検検査を拒んだときの罰則はどれか。,1年以下の懲役,50万円以下の罰金,30万円以下の罰金,施術所の使用制限,3
27,按マ指,解剖学,16,関節について正しいのはどれか。,正中環軸関節は楕円関節である。,顎関節は蝶形骨と下顎骨の間で形成される。,胸鎖関節には関節円板がある。,膝蓋骨は脛骨との間に関節面をもつ。,3
27,按マ指,解剖学,17,股関節を屈曲する筋はどれか。,薄筋,大殿筋,中殿筋,腸腰筋,4
27,按マ指,解剖学,18,腋窩神経が支配する筋はどれか。,三角筋,棘上筋,肩甲下筋,大円筋,1
27,按マ指,解剖学,19,胸部の筋について正しいのはどれか。,大胸筋は小結節稜に停止する。,鎖骨下筋は第1肋骨から起始する。,前鋸筋は胸背神経支配である。,内肋間筋は吸気筋である。,2
27,按マ指,解剖学,20,Tリンパ球が成熟する器官はどれか。,扁桃,胸腺,脾臓,パイエル板,2
27,按マ指,解剖学,21,肺について正しいのはどれか。,肺尖は鎖骨の高さにある。,肺底は縦隔に面している。,栄養血管は気管支動脈である。,右肺は2葉に分かれる。,3
27,按マ指,解剖学,22,胃について正しいのはどれか。,入り口は幽門である。,脾動脈の枝が分布する。,胃底は横行結腸に接する。,最外層に斜走する筋がみられる。,2
27,按マ指,解剖学,23,膵臓について正しいのはどれか。,第4腰椎の高さにある。,腹腔動脈の枝が分布する。,膵管は空腸に開口する。,ランゲルハンス島は膵頭部に多い。,2
27,按マ指,解剖学,24,大脳で視覚野があるのはどれか。,前頭葉,側頭葉,頭頂葉,後頭葉,4
27,按マ指,解剖学,25,滑車神経が支配する筋はどれか。,上直筋,上斜筋,下直筋,下斜筋,2
27,按マ指,解剖学,26,尺骨神経について正しいのはどれか。,腕神経叢の外側神経束から分かれる。,上腕骨内側上顆の前面を通る。,手根管を通る。,手の骨間筋を支配する。,4
27,按マ指,生理学,27,細胞外液中の陽イオンで最も多いのはどれか。,カリウムイオン,カルシウムイオン,ナトリウムイオン,マグネシウムイオン,3
27,按マ指,生理学,28,酸素分圧が最も高いのはどれか。,肺胞内気,肺動脈血,肺静脈血,組織液,1
27,按マ指,生理学,29,細胞の主成分となる栄養素はどれか。,蛋白質,無機質,炭水化物,ビタミン,1
27,按マ指,生理学,30,シナプス伝達で正しいのはどれか。,頻繁に使用してもシナプスは疲労しない。,シナプス小胞内に受容体がある。,両方向性伝達である。,酸素不足による影響を受けやすい。,4
27,按マ指,生理学,31,骨格筋の神経支配で正しいのはどれか。,1本の筋線維は複数の運動ニューロンに支配される。,α運動ニューロンは錘内筋線維を支配する。,γ運動ニューロンはα運動ニューロンに比べて細胞体は大きい。,神経筋接合部は興奮性シナプスである。,4
27,按マ指,生理学,32,液性免疫に関わる主要な白血球はどれか。,マクロファージ,キラーT細胞,NK細胞,B細胞,4
27,按マ指,生理学,33,大腸の蠕動運動について正しいのはどれか。,大蠕動は起こらない。,逆蠕動は起こらない。,胃の充満によって抑制される。,副交感神経活動の亢進によって促進される。,4
27,按マ指,生理学,34,温熱性発汗について正しいのはどれか。,外気温に影響されない。,エクリン腺が関与する。,副交感神経により調節される。,大脳皮質により統御される。,2
27,按マ指,生理学,35,腎臓に流入した血液がろ過される部位はどれか。,近位尿細管,遠位尿細管,集合管,糸球体,4
27,按マ指,生理学,36,下垂体後葉から分泌されるのはどれか。,オキシトシン,カルシトニン,プロラクチン,サイロキシン,1
27,按マ指,生理学,37,高齢になるに伴い上昇する傾向があるのはどれか。,肺活量,骨密度,血圧,腎血流量,3
27,按マ指,病理学,38,他覚症状はどれか。,掻痒感,頭痛,発熱,食欲不振,3
27,按マ指,病理学,39,ダウン症候群の原因となる常染色体異常はどれか。,１３トリソミー,１８トリソミー,２１トリソミー,２２トリソミー,3
27,按マ指,病理学,40,代償性肥大を起こしやすいのはどれか。,乳腺,腎臓,前立腺,心臓,2
27,按マ指,病理学,41,融解壊死が最も生じやすいのはどれか。,脳,肺,小腸,脾臓,1
27,按マ指,病理学,42,滲出物中に多量の好中球が含まれるのはどれか。,漿液性炎,線維素性炎,化膿性炎,肉芽腫性炎,3
27,按マ指,病理学,43,くる病に関連するのはどれか。,ビタミンA,ビタミンB1,ビタミンD,ビタミンE,3
27,按マ指,病理学,44,胃癌の病期分類に必要な情報はどれか。,遠隔転移の有無,体重減少の有無,免疫力低下の有無,腫瘍マーカー上昇の有無,1
27,按マ指,臨床医学総論,45,規則的な運動を示す不随意運動はどれか。,振戦,アテトーゼ,舞踏運動,ジストニア,1
27,按マ指,臨床医学総論,46,失語症で言われたことが《理解できない》のはどれか。,運動失語,感覚失語,伝導失語,健忘失語,2
27,按マ指,臨床医学総論,47,尿閉の原因となるのはどれか。,循環虚脱,脱水,急性腎不全,前立腺肥大,4
27,按マ指,臨床医学総論,48,慢性腎不全の血液検査所見で上昇するのはどれか。,ビリルビン,AST,クレアチニン,CRP,3
27,按マ指,臨床医学総論,49,ヒポクラテス顔貌がみられるのはどれか。,うつ病,パーキンソン病,クッシング症候群,がんの末期,4
27,按マ指,臨床医学総論,50,徒手検査と検査対象の組合せで正しいのはどれか。,ファレンテスト———膝関節,トーマステスト———股関節,マクマレーテスト———肘関節,スパーリングテスト———腰椎,2
27,按マ指,臨床医学総論,51,MMTにおいて「抵抗には打ち勝てないが、重力に抗して運動域を完全に動かせる。」のはどれか。,MMT１,MMT2,MMT3,MMT4,3
27,按マ指,臨床医学総論,52,体温の日内変動が1℃以上で最低体温が平熱まで下がるのはどれか。,間欠熱,稽留熱,弛張熱,波状熱,1
27,按マ指,臨床医学総論,53,対症療法はどれか。,糖尿病に対する食事療法,腰痛に対する鎮痛薬の投与,虫垂炎に対する外科手術,肝不全に対する生体肝移植,2
27,按マ指,臨床医学総論,54,血液量減少性ショックの原因となるのはどれか。,急性心筋梗塞,敗血症,肺塞栓,骨盤骨折,4
27,按マ指,臨床医学総論,55,脳塞栓について正しいのはどれか。,緩徐に発症する。,心房細動に合併する。,高血圧はリスクファクターである。,激しい頭痛を伴う。,2
27,按マ指,臨床医学総論,56,胃潰瘍について正しいのはどれか。,ヘリコバクター・ピロリが関与する。,下腹部痛が多い。,内視鏡所見ではボルマンの分類を用いる。,治療は非ステロイド性抗炎症薬を使用する。,1
27,按マ指,臨床医学各論,57,多発ニューロパチーについて正しいのはどれか。,運動障害が優位である。,デルマトームに沿った感覚障害を認める。,深部腱反射が亢進する。,アルコール多飲が原因となる。,4
27,按マ指,臨床医学各論,58,腰椎椎間板ヘルニアの診断を受けている患者が今朝から急に尿閉となった。速やかに行うべき治療法はどれか。,ベッド上安静,副腎皮質ステロイドの投与,腰部硬膜外ブロック,椎間板切除術,4
27,按マ指,臨床医学各論,59,骨肉腫について正しいのはどれか。,好発年齢は60歳代である。,初発症状は運動時痛が多い。,好発部位は手指骨である。,化学療法は行わない。,2
27,按マ指,臨床医学各論,60,外傷と合併する神経麻痺の組合せで最も適切なのはどれか。,上腕骨骨幹部骨折———腋窩神経麻痺,橈骨遠位端骨折———正中神経麻痺,肩関節前方脱臼———尺骨神経麻痺,股関節後方脱臼———大腿神経麻痺,2
27,按マ指,臨床医学各論,61,腰背部痛をきたしやすい疾患はどれか。,肺梗塞,膀胱炎,尿管結石,急性虫垂炎,3
27,按マ指,臨床医学各論,62,鉄欠乏性貧血について正しいのはどれか。,男性に多い。,スプーン状爪がみられる。,大球性貧血となる。,血清フェリチンは増加する。,2
27,按マ指,臨床医学各論,63,急性膀胱炎について正しいのはどれか。,女性に多い。,高熱をきたす。,水分摂取を控える。,原因菌は黄色ブドウ球菌が多い。,1
27,按マ指,臨床医学各論,64,ベーチェット病の《4大症状でない》のはどれか。,胃潰瘍,結節性紅斑,ブドウ膜炎,口腔粘膜のアフタ性潰瘍,1
27,按マ指,臨床医学各論,65,続発性脂質異常症の《原因とならない》のはどれか。,糖尿病,高尿酸血症,ネフローゼ症候群,甲状腺機能低下症,2
27,按マ指,臨床医学各論,66,動脈硬化と関連が少ないのはどれか。,肝硬変,腎硬化症,脳梗塞,心筋梗塞,1
27,按マ指,臨床医学各論,67,虚血性心疾患について正しいのはどれか。,労作性狭心症は冠動脈攣縮で起こる。,不安定狭心症は心筋梗塞に移行しない。,心筋梗塞は致死的不整脈を起こす。,禁煙は治療としての効果は乏しい。,3
27,按マ指,臨床医学各論,68,緑内障について正しいのはどれか。,水晶体が混濁する。,細菌感染症である。,急性発作では頭痛を伴う。,中心視野は初期から障害される。,3
27,按マ指,臨床医学各論,69,ウイルス感染症はどれか。,デング熱,梅毒,破傷風,百日咳,1
27,按マ指,総合(基礎科目),70,次の文で示す症例について、問いに答えよ。「30歳の男性。人間ドックで高血圧を指摘された。頭痛、発汗、手指振戦、痩せを認めた。家族歴には特記事項なし。腹部CTでは副腎に腫瘍を認めた。」本症例の血液検査で高値を示すのはどれか。,コルチゾール,副腎皮質刺激ホルモン,カテコラミン,アルドステロン,3
27,按マ指,総合(基礎科目),71,次の文で示す症例について、問いに答えよ。「30歳の男性。人間ドックで高血圧を指摘された。頭痛、発汗、手指振戦、痩せを認めた。家族歴には特記事項なし。腹部CTでは副腎に腫瘍を認めた。」本症例の症状を起こす物質が合成・分泌される副腎の部位はどれか。,球状層,束状層,網状層,髄質,4
27,按マ指,総合(基礎科目),72,次の文で示す症例について、問いに答えよ。「36歳の女性。以前から頭痛もちであった。最近、月に2回くらい拍動性の頭痛が数時間以上続き、家事や子どもの面倒をみることができない。」痛みが出現した際の指導で正しいのはどれか。,適度な運動を勧める。,うつむき姿勢を正す。,入浴を勧める。,患部を冷やす。,4
27,按マ指,総合(基礎科目),73,次の文で示す症例について、問いに答えよ。「36歳の女性。以前から頭痛もちであった。最近、月に2回くらい拍動性の頭痛が数時間以上続き、家事や子どもの面倒をみることができない。」診断のために患者に聞いておくべき項目で最も重要なのはどれか。,家族歴,海外渡航歴,既往歴,職業歴,1
27,按マ指,総合(基礎科目),74,次の文で示す症例について、問いに答えよ。「50歳の男性。肩の痛みで来院。2日前に左肩から上腕外側の疼痛が出現し、昨日から前腕橈側のしびれを認めた。左肩関節の挙上時痛、関節拘縮はない。」本症例で障害されている神経根はどれか。,C2,C4,C6,Th1,3
27,按マ指,総合(基礎科目),75,次の文で示す症例について、問いに答えよ。「50歳の男性。肩の痛みで来院。2日前に左肩から上腕外側の疼痛が出現し、昨日から前腕橈側のしびれを認めた。左肩関節の挙上時痛、関節拘縮はない。」本症例で避けるべき動作はどれか。,上肢を挙上する。,肩甲骨を中央に寄せる。,肩甲骨を挙上する。,頸椎を後屈する。,4
27,按マ指,臨床医学各論,76,感染症について正しいのはどれか。,ポリオは細菌感染症である。,細菌性赤痢の潜伏期は約3週間である。,日本脳炎はネズミの媒介によって感染する。,ニューモシスチス肺炎は日和見感染症の一つである。,4
27,按マ指,臨床医学各論,77,ワクチンで予防可能な感染症はどれか。,猩紅熱,マイコプラズマ肺炎,麻疹,梅毒,3
27,按マ指,臨床医学各論,78,疾患と症状の組合せで正しいのはどれか。,肝硬変———静止時振戦,急性胆嚢炎———右季肋部痛,慢性膵炎———女性化乳房,潰瘍性大腸炎———便秘,2
27,按マ指,リハビリテーション医学,79,社会的リハビリテーションに該当するのはどれか。,職業訓練,障害者支援施設利用,特別支援教育,廃用症候群予防,2
27,按マ指,リハビリテーション医学,80,リハビリテーションについて正しいのはどれか。,安静のため発症後1週間は行わない。,急性期から介護保険の利用が可能である。,回復期には機能訓練を積極的に行う。,高齢者では維持期のリハビリテーションは不要である。,3
27,按マ指,リハビリテーション医学,81,理学療法士が中心的に行うリハビリテーションで正しいのはどれか。,運動療法,言語訓練,嚥下訓練,自助具作製,1
27,按マ指,リハビリテーション医学,82,脳卒中片麻痺患者に最もよく用いられるのはどれか。,短下肢装具,長下肢装具,膝関節装具,足関節装具,1
27,按マ指,リハビリテーション医学,83,異常歩行と疾患の組合せで正しいのはどれか。,鶏歩———筋ジストロフィー,小刻み歩行———変形性股関節症,失調性歩行———小脳梗塞,トレンデレンブルグ歩行———パーキンソン病,3
27,按マ指,リハビリテーション医学,84,脳血管障害における嚥下障害で正しいのはどれか。,絶食により誤嚥性肺炎を防止できる。,食事中にむせなければ誤嚥は否定できる。,口腔ケアは誤嚥性肺炎予防に有効である。,意識障害があるときでも積極的に経口摂取を行う。,3
27,按マ指,リハビリテーション医学,85,脳卒中の急性期リハビリテーションについて正しいのはどれか。,廃用症候群予防のため早期離床を目指す。,急性期にはリスクが高いために行わない。,理学療法を行うには医師の処方は不要である。,自立活動が期待できない重度障害者は対象にならない。,1
27,按マ指,リハビリテーション医学,86,脊髄損傷の合併症でよくみられるのはどれか。,肝硬変,自然気胸,心筋梗塞,膀胱結石,4
27,按マ指,リハビリテーション医学,87,下肢切断で最も頻度が高いのはどれか。,膝関節離断,サイム切断,大腿切断,下腿切断,4
27,按マ指,リハビリテーション医学,88,痙直型脳性麻痺について正しいのはどれか。,運動療法の開始は2歳以降とする。,成長に伴い関節拘縮や変形が合併する。,頸部の不随意運動を特徴とする。,原因に進行性の疾患が含まれる。,2
27,按マ指,リハビリテーション医学,89,肩関節周囲炎に対するリハビリテーションで正しいのはどれか。,ウィリアムス体操,コッドマン体操,フレンケル体操,バージャー体操,2
27,按マ指,リハビリテーション医学,90,パーキンソン病の症状で《誤っている》のはどれか。,振戦,片麻痺,すくみ足,仮面様顔貌,2
27,按マ指,東洋医学概論,91,津液の運行に最も関与する気の作用はどれか。,温煦作用,防衛作用,推動作用,気化作用,3
27,按マ指,東洋医学概論,92,腎を剋する臓の生理作用はどれか。,血を蔵す。,精を蔵す。,気を主る。,統血を主る。,4
27,按マ指,東洋医学概論,93,清濁を分ける腑と表裏関係にある臓の生理作用はどれか。,疏泄を主る。,納気を主る。,運化を主る。,血脈を主る。,4
27,按マ指,東洋医学概論,94,胃の生理作用で正しいのはどれか。,栄養素を全身に供給する。,体内の水路を調える。,食物の受納を行う。,水液を吸収する。,3
27,按マ指,東洋医学概論,95,考え過ぎると傷つきやすい臓はどれか。,肝,脾,肺,腎,2
27,按マ指,東洋医学概論,96,心を犯しやすい外邪の特徴はどれか。,気を傷つける。,経過が長くなる。,痛みを引き起こす。,症状の変化が速い。,1
27,按マ指,東洋医学概論,97,気滞の最も特徴的な症状はどれか。,手のしびれ,食欲減退,筋けいれん,胸のつかえ,4
